trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
20,False,"{'a': 0.5, 'e': 0.94}",25,0,-93.33073021537034,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9369999999999999}",25,12,-85.77635967131043,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.9339999999999999}",25,0,-101.92693080056979,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9309999999999999}",30,13,-54.58005867024948,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.9279999999999999}",30,0,-43.15772201006463,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-115.77362551821314,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9219999999999999}",20,0,-135.55549494968636,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9189999999999999}",20,0,-57.0895524324396,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9159999999999999}",25,0,-192.01721015119796,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9129999999999999}",20,0,-119.85239110923887,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-95.32028925795755,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9069999999999999}",20,0,-147.1176684396614,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9039999999999999}",20,0,-115.98608024163762,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9009999999999999}",20,0,-78.75730642090149,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
